No,Province,City,id_city,jne,jnt,ninja,wahana,pos
1,ACEH,KABUPATEN SIMEULUE,1101,30000,20000,0,0,0
2,ACEH,KABUPATEN ACEH SINGKIL,1102,30000,20000,0,0,0
3,ACEH,KABUPATEN ACEH SELATAN,1103,30000,20000,0,0,0
4,ACEH,KABUPATEN ACEH TENGGARA,1104,30000,20000,0,0,0
5,ACEH,KABUPATEN ACEH TIMUR,1105,30000,20000,0,0,0
6,ACEH,KABUPATEN ACEH TENGAH,1106,30000,20000,0,0,0
7,ACEH,KABUPATEN ACEH BARAT,1107,30000,20000,0,0,0
8,ACEH,KABUPATEN ACEH BESAR,1108,30000,20000,0,0,0
9,ACEH,KABUPATEN PIDIE,1109,30000,20000,0,0,0
10,ACEH,KABUPATEN BIREUEN,1110,30000,20000,0,0,0
11,ACEH,KABUPATEN ACEH UTARA,1111,30000,20000,0,0,0
12,ACEH,KABUPATEN ACEH BARAT DAYA,1112,30000,20000,0,0,0
13,ACEH,KABUPATEN GAYO LUES,1113,30000,20000,0,0,0
14,ACEH,KABUPATEN ACEH TAMIANG,1114,30000,20000,0,0,0
15,ACEH,KABUPATEN NAGAN RAYA,1115,30000,20000,0,0,0
16,ACEH,KABUPATEN ACEH JAYA,1116,30000,20000,0,0,0
17,ACEH,KABUPATEN BENER MERIAH,1117,30000,20000,0,0,0
18,ACEH,KABUPATEN PIDIE JAYA,1118,30000,20000,0,0,0
19,ACEH,KOTA BANDA ACEH,1171,30000,20000,0,0,0
20,ACEH,KOTA SABANG,1172,30000,20000,0,0,0
21,ACEH,KOTA LANGSA,1173,30000,20000,0,0,0
22,ACEH,KOTA LHOKSEUMAWE,1174,30000,20000,0,0,0
23,ACEH,KOTA SUBULUSSALAM,1175,30000,20000,0,0,0
24,SUMATERA UTARA,KABUPATEN NIAS,1201,30000,20000,0,0,0
25,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,1202,30000,20000,0,0,0
26,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,1203,30000,20000,0,0,0
27,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,1204,30000,20000,0,0,0
28,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,1205,30000,20000,0,0,0
29,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,1206,30000,20000,0,0,0
30,SUMATERA UTARA,KABUPATEN LABUHAN BATU,1207,30000,20000,0,0,0
31,SUMATERA UTARA,KABUPATEN ASAHAN,1208,30000,20000,0,0,0
32,SUMATERA UTARA,KABUPATEN SIMALUNGUN,1209,30000,20000,0,0,0
33,SUMATERA UTARA,KABUPATEN DAIRI,1210,30000,20000,0,0,0
34,SUMATERA UTARA,KABUPATEN KARO,1211,30000,20000,0,0,0
35,SUMATERA UTARA,KABUPATEN DELI SERDANG,1212,30000,20000,0,0,0
36,SUMATERA UTARA,KABUPATEN LANGKAT,1213,30000,20000,0,0,0
37,SUMATERA UTARA,KABUPATEN NIAS SELATAN,1214,30000,20000,0,0,0
38,SUMATERA UTARA,KABUPATEN HUMBANG HASUNDUTAN,1215,30000,20000,0,0,0
39,SUMATERA UTARA,KABUPATEN PAKPAK BHARAT,1216,30000,20000,0,0,0
40,SUMATERA UTARA,KABUPATEN SAMOSIR,1217,30000,20000,0,0,0
41,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI,1218,30000,20000,0,0,0
42,SUMATERA UTARA,KABUPATEN BATU BARA,1219,30000,20000,0,0,0
43,SUMATERA UTARA,KABUPATEN PADANG LAWAS UTARA,1220,30000,20000,0,0,0
44,SUMATERA UTARA,KABUPATEN PADANG LAWAS,1221,30000,20000,0,0,0
45,SUMATERA UTARA,KABUPATEN LABUHAN BATU SELATAN,1222,30000,20000,0,0,0
46,SUMATERA UTARA,KABUPATEN LABUHAN BATU UTARA,1223,30000,20000,0,0,0
47,SUMATERA UTARA,KABUPATEN NIAS UTARA,1224,30000,20000,0,0,0
48,SUMATERA UTARA,KABUPATEN NIAS BARAT,1225,30000,20000,0,0,0
49,SUMATERA UTARA,KOTA SIBOLGA,1271,30000,20000,0,0,0
50,SUMATERA UTARA,KOTA TANJUNG BALAI,1272,30000,20000,0,0,0
51,SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,30000,20000,0,0,0
52,SUMATERA UTARA,KOTA TEBING TINGGI,1274,30000,20000,0,0,0
53,SUMATERA UTARA,KOTA MEDAN,1275,30000,20000,0,0,0
54,SUMATERA UTARA,KOTA BINJAI,1276,30000,20000,0,0,0
55,SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,30000,20000,0,0,0
56,SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,30000,20000,0,0,0
57,SUMATERA BARAT,KABUPATEN KEPULAUAN MENTAWAI,1301,30000,20000,0,0,0
58,SUMATERA BARAT,KABUPATEN PESISIR SELATAN,1302,30000,20000,0,0,0
59,SUMATERA BARAT,KABUPATEN SOLOK,1303,30000,20000,0,0,0
60,SUMATERA BARAT,KABUPATEN SIJUNJUNG,1304,30000,20000,0,0,0
61,SUMATERA BARAT,KABUPATEN TANAH DATAR,1305,30000,20000,0,0,0
62,SUMATERA BARAT,KABUPATEN PADANG PARIAMAN,1306,30000,20000,0,0,0
63,SUMATERA BARAT,KABUPATEN AGAM,1307,30000,20000,0,0,0
64,SUMATERA BARAT,KABUPATEN LIMA PULUH KOTA,1308,30000,20000,0,0,0
65,SUMATERA BARAT,KABUPATEN PASAMAN,1309,30000,20000,0,0,0
66,SUMATERA BARAT,KABUPATEN SOLOK SELATAN,1310,30000,20000,0,0,0
67,SUMATERA BARAT,KABUPATEN DHARMASRAYA,1311,30000,20000,0,0,0
68,SUMATERA BARAT,KABUPATEN PASAMAN BARAT,1312,30000,20000,0,0,0
69,SUMATERA BARAT,KOTA PADANG,1371,30000,20000,0,0,0
70,SUMATERA BARAT,KOTA SOLOK,1372,30000,20000,0,0,0
71,SUMATERA BARAT,KOTA SAWAH LUNTO,1373,30000,20000,0,0,0
72,SUMATERA BARAT,KOTA PADANG PANJANG,1374,30000,20000,0,0,0
73,SUMATERA BARAT,KOTA BUKITTINGGI,1375,30000,20000,0,0,0
74,SUMATERA BARAT,KOTA PAYAKUMBUH,1376,30000,20000,0,0,0
75,SUMATERA BARAT,KOTA PARIAMAN,1377,30000,20000,0,0,0
76,RIAU,KABUPATEN KUANTAN SINGINGI,1401,30000,20000,0,0,0
77,RIAU,KABUPATEN INDRAGIRI HULU,1402,30000,20000,0,0,0
78,RIAU,KABUPATEN INDRAGIRI HILIR,1403,30000,20000,0,0,0
79,RIAU,KABUPATEN PELALAWAN,1404,30000,20000,0,0,0
80,RIAU,KABUPATEN S I A K,1405,30000,20000,0,0,0
81,RIAU,KABUPATEN KAMPAR,1406,30000,20000,0,0,0
82,RIAU,KABUPATEN ROKAN HULU,1407,30000,20000,0,0,0
83,RIAU,KABUPATEN BENGKALIS,1408,30000,20000,0,0,0
84,RIAU,KABUPATEN ROKAN HILIR,1409,30000,20000,0,0,0
85,RIAU,KABUPATEN KEPULAUAN MERANTI,1410,30000,20000,0,0,0
86,RIAU,KOTA PEKANBARU,1471,30000,20000,0,0,0
87,RIAU,KOTA D U M A I,1473,30000,20000,0,0,0
88,JAMBI,KABUPATEN KERINCI,1501,30000,20000,0,0,0
89,JAMBI,KABUPATEN MERANGIN,1502,30000,20000,0,0,0
90,JAMBI,KABUPATEN SAROLANGUN,1503,30000,20000,0,0,0
91,JAMBI,KABUPATEN BATANG HARI,1504,30000,20000,0,0,0
92,JAMBI,KABUPATEN MUARO JAMBI,1505,30000,20000,0,0,0
93,JAMBI,KABUPATEN TANJUNG JABUNG TIMUR,1506,30000,20000,0,0,0
94,JAMBI,KABUPATEN TANJUNG JABUNG BARAT,1507,30000,20000,0,0,0
95,JAMBI,KABUPATEN TEBO,1508,30000,20000,0,0,0
96,JAMBI,KABUPATEN BUNGO,1509,30000,20000,0,0,0
97,JAMBI,KOTA JAMBI,1571,30000,20000,0,0,0
98,JAMBI,KOTA SUNGAI PENUH,1572,30000,20000,0,0,0
99,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU,1601,30000,20000,0,0,0
100,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,1602,30000,20000,0,0,0
101,SUMATERA SELATAN,KABUPATEN MUARA ENIM,1603,30000,20000,0,0,0
102,SUMATERA SELATAN,KABUPATEN LAHAT,1604,30000,20000,0,0,0
103,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,1605,30000,20000,0,0,0
104,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,1606,30000,20000,0,0,0
105,SUMATERA SELATAN,KABUPATEN BANYU ASIN,1607,30000,20000,0,0,0
106,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,1608,30000,20000,0,0,0
107,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,1609,30000,20000,0,0,0
108,SUMATERA SELATAN,KABUPATEN OGAN ILIR,1610,30000,20000,0,0,0
109,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,1611,30000,20000,0,0,0
110,SUMATERA SELATAN,KABUPATEN PENUKAL ABAB LEMATANG ILIR,1612,30000,20000,0,0,0
111,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,1613,30000,20000,0,0,0
112,SUMATERA SELATAN,KOTA PALEMBANG,1671,30000,20000,0,0,0
113,SUMATERA SELATAN,KOTA PRABUMULIH,1672,30000,20000,0,0,0
114,SUMATERA SELATAN,KOTA PAGAR ALAM,1673,30000,20000,0,0,0
115,SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,30000,20000,0,0,0
116,BENGKULU,KABUPATEN BENGKULU SELATAN,1701,30000,20000,0,0,0
117,BENGKULU,KABUPATEN REJANG LEBONG,1702,30000,20000,0,0,0
118,BENGKULU,KABUPATEN BENGKULU UTARA,1703,30000,20000,0,0,0
119,BENGKULU,KABUPATEN KAUR,1704,30000,20000,0,0,0
120,BENGKULU,KABUPATEN SELUMA,1705,30000,20000,0,0,0
121,BENGKULU,KABUPATEN MUKOMUKO,1706,30000,20000,0,0,0
122,BENGKULU,KABUPATEN LEBONG,1707,30000,20000,0,0,0
123,BENGKULU,KABUPATEN KEPAHIANG,1708,30000,20000,0,0,0
124,BENGKULU,KABUPATEN BENGKULU TENGAH,1709,30000,20000,0,0,0
125,BENGKULU,KOTA BENGKULU,1771,30000,20000,0,0,0
126,LAMPUNG,KABUPATEN LAMPUNG BARAT,1801,30000,20000,0,0,0
127,LAMPUNG,KABUPATEN TANGGAMUS,1802,30000,20000,0,0,0
128,LAMPUNG,KABUPATEN LAMPUNG SELATAN,1803,30000,20000,0,0,0
129,LAMPUNG,KABUPATEN LAMPUNG TIMUR,1804,30000,20000,0,0,0
130,LAMPUNG,KABUPATEN LAMPUNG TENGAH,1805,30000,20000,0,0,0
131,LAMPUNG,KABUPATEN LAMPUNG UTARA,1806,30000,20000,0,0,0
132,LAMPUNG,KABUPATEN WAY KANAN,1807,30000,20000,0,0,0
133,LAMPUNG,KABUPATEN TULANGBAWANG,1808,30000,20000,0,0,0
134,LAMPUNG,KABUPATEN PESAWARAN,1809,30000,20000,0,0,0
135,LAMPUNG,KABUPATEN PRINGSEWU,1810,30000,20000,0,0,0
136,LAMPUNG,KABUPATEN MESUJI,1811,30000,20000,0,0,0
137,LAMPUNG,KABUPATEN TULANG BAWANG BARAT,1812,30000,20000,0,0,0
138,LAMPUNG,KABUPATEN PESISIR BARAT,1813,30000,20000,0,0,0
139,LAMPUNG,KOTA BANDAR LAMPUNG,1871,30000,20000,0,0,0
140,LAMPUNG,KOTA METRO,1872,30000,20000,0,0,0
141,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA,1901,30000,20000,0,0,0
142,KEPULAUAN BANGKA BELITUNG,KABUPATEN BELITUNG,1902,30000,20000,0,0,0
143,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA BARAT,1903,30000,20000,0,0,0
144,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,1904,30000,20000,0,0,0
145,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA SELATAN,1905,30000,20000,0,0,0
146,KEPULAUAN BANGKA BELITUNG,KABUPATEN BELITUNG TIMUR,1906,30000,20000,0,0,0
147,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971,30000,20000,0,0,0
148,KEPULAUAN RIAU,KABUPATEN KARIMUN,2101,30000,20000,0,0,0
149,KEPULAUAN RIAU,KABUPATEN BINTAN,2102,30000,20000,0,0,0
150,KEPULAUAN RIAU,KABUPATEN NATUNA,2103,30000,20000,0,0,0
151,KEPULAUAN RIAU,KABUPATEN LINGGA,2104,30000,20000,0,0,0
152,KEPULAUAN RIAU,KABUPATEN KEPULAUAN ANAMBAS,2105,30000,20000,0,0,0
153,KEPULAUAN RIAU,KOTA B A T A M,2171,30000,20000,0,0,0
154,KEPULAUAN RIAU,KOTA TANJUNG PINANG,2172,30000,20000,0,0,0
155,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,3101,30000,20000,0,0,0
156,DKI JAKARTA,KOTA JAKARTA SELATAN,3171,30000,20000,0,0,0
157,DKI JAKARTA,KOTA JAKARTA TIMUR,3172,30000,20000,0,0,0
158,DKI JAKARTA,KOTA JAKARTA PUSAT,3173,30000,20000,0,0,0
159,DKI JAKARTA,KOTA JAKARTA BARAT,3174,30000,20000,0,0,0
160,DKI JAKARTA,KOTA JAKARTA UTARA,3175,30000,20000,0,0,0
161,JAWA BARAT,KABUPATEN BOGOR,3201,30000,20000,0,0,0
162,JAWA BARAT,KABUPATEN SUKABUMI,3202,30000,20000,0,0,0
163,JAWA BARAT,KABUPATEN CIANJUR,3203,30000,20000,0,0,0
164,JAWA BARAT,KABUPATEN BANDUNG,3204,30000,20000,0,0,0
165,JAWA BARAT,KABUPATEN GARUT,3205,30000,20000,0,0,0
166,JAWA BARAT,KABUPATEN TASIKMALAYA,3206,30000,20000,0,0,0
167,JAWA BARAT,KABUPATEN CIAMIS,3207,30000,20000,0,0,0
168,JAWA BARAT,KABUPATEN KUNINGAN,3208,30000,20000,0,0,0
169,JAWA BARAT,KABUPATEN CIREBON,3209,30000,20000,0,0,0
170,JAWA BARAT,KABUPATEN MAJALENGKA,3210,30000,20000,0,0,0
171,JAWA BARAT,KABUPATEN SUMEDANG,3211,30000,20000,0,0,0
172,JAWA BARAT,KABUPATEN INDRAMAYU,3212,30000,20000,0,0,0
173,JAWA BARAT,KABUPATEN SUBANG,3213,30000,20000,0,0,0
174,JAWA BARAT,KABUPATEN PURWAKARTA,3214,30000,20000,0,0,0
175,JAWA BARAT,KABUPATEN KARAWANG,3215,30000,20000,0,0,0
176,JAWA BARAT,KABUPATEN BEKASI,3216,30000,20000,0,0,0
177,JAWA BARAT,KABUPATEN BANDUNG BARAT,3217,30000,20000,0,0,0
178,JAWA BARAT,KABUPATEN PANGANDARAN,3218,30000,20000,0,0,0
179,JAWA BARAT,KOTA BOGOR,3271,30000,20000,0,0,0
180,JAWA BARAT,KOTA SUKABUMI,3272,30000,20000,0,0,0
181,JAWA BARAT,KOTA BANDUNG,3273,30000,20000,0,0,0
182,JAWA BARAT,KOTA CIREBON,3274,30000,20000,0,0,0
183,JAWA BARAT,KOTA BEKASI,3275,30000,20000,0,0,0
184,JAWA BARAT,KOTA DEPOK,3276,30000,20000,0,0,0
185,JAWA BARAT,KOTA CIMAHI,3277,30000,20000,0,0,0
186,JAWA BARAT,KOTA TASIKMALAYA,3278,30000,20000,0,0,0
187,JAWA BARAT,KOTA BANJAR,3279,30000,20000,0,0,0
188,JAWA TENGAH,KABUPATEN CILACAP,3301,30000,20000,0,0,0
189,JAWA TENGAH,KABUPATEN BANYUMAS,3302,30000,20000,0,0,0
190,JAWA TENGAH,KABUPATEN PURBALINGGA,3303,30000,20000,0,0,0
191,JAWA TENGAH,KABUPATEN BANJARNEGARA,3304,30000,20000,0,0,0
192,JAWA TENGAH,KABUPATEN KEBUMEN,3305,30000,20000,0,0,0
193,JAWA TENGAH,KABUPATEN PURWOREJO,3306,30000,20000,0,0,0
194,JAWA TENGAH,KABUPATEN WONOSOBO,3307,30000,20000,0,0,0
195,JAWA TENGAH,KABUPATEN MAGELANG,3308,30000,20000,0,0,0
196,JAWA TENGAH,KABUPATEN BOYOLALI,3309,30000,20000,0,0,0
197,JAWA TENGAH,KABUPATEN KLATEN,3310,30000,20000,0,0,0
198,JAWA TENGAH,KABUPATEN SUKOHARJO,3311,30000,20000,0,0,0
