No,Province,City,id_city,jne,jnt,ninja,wahana,pos
1,ACEH,KABUPATEN SIMEULUE,1101,0,0,0,0,0
2,ACEH,KABUPATEN ACEH SINGKIL,1102,0,0,0,0,0
3,ACEH,KABUPATEN ACEH SELATAN,1103,0,0,0,0,0
4,ACEH,KABUPATEN ACEH TENGGARA,1104,0,0,0,0,0
5,ACEH,KABUPATEN ACEH TIMUR,1105,0,0,0,0,0
6,ACEH,KABUPATEN ACEH TENGAH,1106,0,0,0,0,0
7,ACEH,KABUPATEN ACEH BARAT,1107,0,0,0,0,0
8,ACEH,KABUPATEN ACEH BESAR,1108,0,0,0,0,0
9,ACEH,KABUPATEN PIDIE,1109,0,0,0,0,0
10,ACEH,KABUPATEN BIREUEN,1110,0,0,0,0,0
11,ACEH,KABUPATEN ACEH UTARA,1111,0,0,0,0,0
12,ACEH,KABUPATEN ACEH BARAT DAYA,1112,0,0,0,0,0
13,ACEH,KABUPATEN GAYO LUES,1113,0,0,0,0,0
14,ACEH,KABUPATEN ACEH TAMIANG,1114,0,0,0,0,0
15,ACEH,KABUPATEN NAGAN RAYA,1115,0,0,0,0,0
16,ACEH,KABUPATEN ACEH JAYA,1116,0,0,0,0,0
17,ACEH,KABUPATEN BENER MERIAH,1117,0,0,0,0,0
18,ACEH,KABUPATEN PIDIE JAYA,1118,0,0,0,0,0
19,ACEH,KOTA BANDA ACEH,1171,0,0,0,0,0
20,ACEH,KOTA SABANG,1172,0,0,0,0,0
21,ACEH,KOTA LANGSA,1173,0,0,0,0,0
22,ACEH,KOTA LHOKSEUMAWE,1174,0,0,0,0,0
23,ACEH,KOTA SUBULUSSALAM,1175,0,0,0,0,0
24,SUMATERA UTARA,KABUPATEN NIAS,1201,0,0,0,0,0
25,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,1202,0,0,0,0,0
26,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,1203,0,0,0,0,0
27,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,1204,0,0,0,0,0
28,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,1205,0,0,0,0,0
29,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,1206,0,0,0,0,0
30,SUMATERA UTARA,KABUPATEN LABUHAN BATU,1207,0,0,0,0,0
31,SUMATERA UTARA,KABUPATEN ASAHAN,1208,0,0,0,0,0
32,SUMATERA UTARA,KABUPATEN SIMALUNGUN,1209,0,0,0,0,0
33,SUMATERA UTARA,KABUPATEN DAIRI,1210,0,0,0,0,0
34,SUMATERA UTARA,KABUPATEN KARO,1211,0,0,0,0,0
35,SUMATERA UTARA,KABUPATEN DELI SERDANG,1212,0,0,0,0,0
